risk gene,clearance gene,correlation,t
coeff31,coeff14,0.141894257060707,10000
coeff6,coeff28,0.142207014395297,10000
coeff12,coeff32,0.142469744860913,10000
coeff23,coeff14,0.144475213855896,10000
coeff24,coeff14,0.144980044849761,10000
coeff34,coeff7,0.146362333650457,278
coeff20,coeff25,0.146431913778089,696
coeff12,coeff7,0.147837464767789,359
coeff30,coeff7,0.14797388380207,389
coeff9,coeff7,0.148369518864826,357
coeff20,coeff7,0.148484457937195,420
coeff41,coeff7,0.148535251219202,436
coeff24,coeff7,0.148628824390901,434
coeff37,coeff7,0.148721112539436,355
coeff14,coeff7,0.148852836410751,378
coeff4,coeff7,0.148897200533328,424
coeff28,coeff7,0.14935109480326,358
coeff31,coeff7,0.149404569241987,411
coeff39,coeff7,0.149448180942723,401
coeff10,coeff7,0.149576042008676,408
coeff18,coeff7,0.149602445380598,402
coeff32,coeff7,0.14962935234789,402
coeff33,coeff7,0.149633804021386,397
coeff29,coeff7,0.149777401464713,387
coeff21,coeff7,0.149855774466302,433
coeff23,coeff7,0.149886848942572,431
coeff25,coeff7,0.149918294033782,435
coeff26,coeff7,0.149955190240153,402
coeff36,coeff7,0.149961466551164,426
coeff19,coeff7,0.150049061920962,422
coeff40,coeff7,0.150081378786288,472
coeff35,coeff7,0.150118954849685,445
coeff11,coeff7,0.150122797988694,469
coeff13,coeff7,0.150226186476655,487
coeff33,coeff14,0.150377126828358,10000
coeff6,coeff7,0.150385486872177,450
coeff38,coeff7,0.150426990865879,470
coeff27,coeff7,0.150576904323643,551
coeff22,coeff7,0.150576929908171,460
coeff6,coeff14,0.150580559152662,10000
coeff7,coeff14,0.151944276565194,10000
coeff36,coeff19,0.153477324676717,319
coeff6,coeff4,0.153575464788675,10000
coeff19,coeff14,0.156398410276181,10000
coeff10,coeff15,0.157593114811627,10000
coeff13,coeff22,0.166108863358894,1475
coeff35,coeff14,0.166186920753579,10000
coeff11,coeff25,0.166376365584375,636
coeff30,coeff14,0.168780961619357,10000
coeff21,coeff25,0.169294435055579,764
coeff10,coeff30,0.172523465124675,1818
coeff13,coeff14,0.176291019884235,10000
coeff11,coeff14,0.17676635014634,10000
coeff41,coeff14,0.177215204240599,10000
coeff34,coeff14,0.17729672879347,10000
coeff38,coeff14,0.179038298289357,10000
coeff23,coeff25,0.18570762355819,783
coeff6,coeff25,0.187386133918113,2309
coeff26,coeff17,0.197526193410802,268
coeff21,coeff17,0.197699658415911,270
coeff32,coeff17,0.197700179866086,283
coeff38,coeff17,0.197700274289527,286
coeff11,coeff17,0.197700296461543,249
coeff9,coeff17,0.19770065377293,241
coeff9,coeff25,0.197702109840346,525
coeff6,coeff32,0.202313587697922,10000
coeff2,coeff15,0.205404065327025,10000
coeff10,coeff5,0.205583165790349,863
coeff6,coeff30,0.208519750221275,1992
coeff23,coeff5,0.208918979322859,1047
coeff2,coeff5,0.213609603511713,843
coeff25,coeff19,0.216854494505875,277
coeff12,coeff25,0.217151007624222,484
coeff27,coeff14,0.220011369415869,10000
coeff9,coeff5,0.220413526347619,1096
coeff10,coeff16,0.226744590517065,964
coeff12,coeff38,0.228009626470266,10000
coeff12,coeff5,0.22877041222831,1302
coeff10,coeff37,0.234890019295189,10000
coeff9,coeff15,0.236721626811818,10000
coeff9,coeff30,0.23759425084716,1541
coeff39,coeff19,0.237747964776636,302
coeff26,coeff15,0.240425543446932,10000
coeff14,coeff15,0.246149125871023,10000
coeff6,coeff24,0.248913645895507,10000
coeff19,coeff5,0.249362199622993,925
coeff20,coeff15,0.249911078503372,10000
coeff12,coeff30,0.250249453859989,1734
coeff24,coeff15,0.252305328584185,10000
coeff20,coeff5,0.252876282547282,1133
coeff14,coeff8,0.253243769788812,1018
coeff36,coeff5,0.25377052131395,1096
coeff39,coeff25,0.255370778056556,643
coeff40,coeff5,0.255474511505628,1091
coeff1,coeff5,0.2584176074163,1162
coeff12,coeff15,0.258639896545025,10000
coeff18,coeff15,0.260643147848356,10000
coeff39,coeff5,0.260651256887784,1000
coeff29,coeff5,0.260871332030995,880
coeff40,coeff25,0.261070344880617,760
coeff30,coeff5,0.261814553147038,1140
coeff16,coeff15,0.263009727447775,10000
coeff33,coeff5,0.263676185920698,856
coeff34,coeff5,0.266646019080309,962
coeff21,coeff15,0.268039317611949,10000
coeff11,coeff5,0.268659443997434,1040
coeff24,coeff5,0.272689665091956,1010
coeff25,coeff5,0.273749006676018,1035
coeff38,coeff5,0.275508003634026,1037
coeff18,coeff5,0.276462684087637,999
coeff16,coeff5,0.278058028895946,843
coeff4,coeff5,0.280971554655484,980
coeff14,coeff5,0.283737091922164,1048
coeff37,coeff5,0.283943876501328,869
coeff22,coeff19,0.284422912639361,260
coeff32,coeff5,0.284661718942152,1037
coeff26,coeff5,0.285600736366887,1061
coeff1,coeff15,0.285753248639844,10000
coeff33,coeff15,0.286851630335206,10000
coeff6,coeff5,0.288984784501716,1023
coeff8,coeff15,0.289767577915983,10000
coeff40,coeff15,0.290439727298568,10000
coeff37,coeff15,0.29244087689843,10000
coeff8,coeff13,0.293504079921156,288
coeff5,coeff13,0.293683867551177,308
coeff16,coeff13,0.293837425089234,250
coeff35,coeff5,0.293872966244869,970
coeff12,coeff16,0.293986310834149,925
coeff2,coeff13,0.294176163444917,390
coeff34,coeff13,0.294265617024999,232
coeff28,coeff13,0.294327697117266,247
coeff14,coeff13,0.294427576828757,265
coeff37,coeff13,0.294440286839884,249
coeff20,coeff13,0.294450469830934,288
coeff31,coeff13,0.294462789128711,269
coeff41,coeff13,0.294479588055235,282
coeff30,coeff13,0.294507556551511,261
coeff18,coeff13,0.294614663653331,277
coeff27,coeff5,0.294639746480666,1063
coeff4,coeff13,0.294816357572661,294
coeff15,coeff16,0.295082945682453,843
coeff2,coeff9,0.29514971851099,216
coeff10,coeff12,0.295167665853095,188
coeff24,coeff9,0.295458330245415,240
coeff29,coeff9,0.295470926849596,231
coeff26,coeff9,0.295474152019387,232
coeff10,coeff13,0.295500453201777,265
coeff8,coeff4,0.295555397219807,184
coeff36,coeff13,0.295569376889113,346
coeff8,coeff22,0.295623299601449,187
coeff21,coeff9,0.295642009443427,279
coeff10,coeff9,0.295661089418827,233
coeff8,coeff14,0.295685267216318,158
coeff12,coeff13,0.295690537088923,234
coeff16,coeff4,0.29572617144006,189
coeff12,coeff9,0.295748900104244,211
