VPS41,0.4296,0.28253,0.27559,0.29591,0.31355,0.25227,0.24871,0.30776,0.36287,0.27049,0.26053,0.294,0.36045,0.21826,0.24437,0.3493,0.31416,0.30313,0.33771,0.33304,0.28377,0.28026,0.28217,0.34643,0.32542,0.28009,0.32804,0.31329,0.28575,0.18316,0.28346,0.24918,0.21308,0.27429,0.1821,0.26996,0.29346,0.31691,0.23738,0.26655
GGA3,0.42916,0.27081,0.2765,0.2872,0.30597,0.30734,0.33638,0.31368,0.30478,0.24081,0.26015,0.23528,0.29758,0.30651,0.19568,0.32835,0.38694,0.38375,0.30624,0.31366,0.27037,0.25043,0.24502,0.33169,0.20999,0.34128,0.18038,0.29641,0.27009,0.14224,0.38293,0.2863,0.34005,0.27659,0.23398,0.23626,0.29848,0.39113,0.34618,0.2433
DEPDC5,0.42836,0.315,0.33622,0.31863,0.32834,0.30921,0.27463,0.28939,0.37338,0.24164,0.35955,0.22466,0.25332,0.29303,0.33211,0.21053,0.29562,0.3552,0.26248,0.35548,0.30107,0.28102,0.30417,0.41075,0.36651,0.30035,0.2993,0.29366,0.30571,0.2578,0.20729,0.2909,0.30025,0.23937,0.22751,0.16777,0.22534,0.27962,0.24446,0.25947
MYO5A,0.42615,0.29696,0.29643,0.34381,0.34641,0.2529,0.35567,0.27148,0.39164,0.34266,0.31004,0.30659,0.38099,0.27624,0.246,0.3339,0.28826,0.2411,0.30169,0.42811,0.41523,0.24551,0.30763,0.43114,0.29186,0.31969,0.2727,0.26158,0.28457,0.18104,0.14702,0.22326,0.29505,0.3119,0.276,0.14983,0.28725,0.32913,0.39572,0.19612
PRSS16,0.42611,0.30978,0.34565,0.31039,0.361,0.328,0.25106,0.3417,0.29742,0.36634,0.31036,0.24537,0.2449,0.23512,0.18635,0.29238,0.32313,0.39004,0.3177,0.30208,0.30713,0.25625,0.25346,0.38799,0.24379,0.37706,0.2196,0.29748,0.28533,0.31811,0.29234,0.21699,0.33307,0.37503,0.25275,0.31799,0.29245,0.34832,0.29107,0.30154
MCOLN1,0.42372,0.29138,0.34718,0.35872,0.31242,0.37989,0.32164,0.35549,0.26016,0.29869,0.26809,0.25992,0.28365,0.26409,0.2213,0.28352,0.27012,0.50278,0.32128,0.25698,0.31022,0.30273,0.29557,0.35724,0.323,0.3459,0.24289,0.22234,0.33061,0.39143,0.17994,0.23891,0.35855,0.30598,0.31666,0.31856,0.33829,0.20196,0.25816,0.15922
CTSB,0.42215,0.29117,0.27118,0.32261,0.244,0.39748,0.31563,0.30051,0.23318,0.34026,0.12473,0.29455,0.21281,0.24225,0.36202,0.25461,0.21549,0.24474,0.30684,0.24428,0.33524,0.33688,0.2682,0.2906,0.20627,0.33794,0.24132,0.14817,0.34514,0.22508,0.37039,0.19876,0.38065,0.36056,0.24027,0.25774,0.29372,0.31896,0.37172,0.23938
RB1CC1,0.42075,0.29116,0.26266,0.34349,0.26202,0.18602,0.31954,0.37224,0.28557,0.35356,0.39598,0.31023,0.30721,0.30026,0.45548,0.31576,0.16467,0.34629,0.37856,0.32431,0.33589,0.2328,0.33326,0.31209,0.48239,0.35557,0.46429,0.26674,0.24147,0.39089,0.38165,0.31782,0.2857,0.34138,0.40584,0.23903,0.15393,0.33071,0.32829,0.22608
IDS,0.41966,0.3527,0.31314,0.19663,0.27395,0.30664,0.29658,0.2794,0.3025,0.32254,0.31031,0.25673,0.19458,0.30994,0.24182,0.29753,0.29603,0.3757,0.31495,0.31288,0.36964,0.26704,0.33377,0.33558,0.25368,0.29373,0.26857,0.32648,0.30938,0.3662,0.23942,0.28991,0.26579,0.28032,0.28949,0.31608,0.38738,0.31553,0.42564,0.30139
CTSK,0.41929,0.30186,0.36257,0.30287,0.21199,0.23676,0.23135,0.30654,0.31338,0.33946,0.17639,0.28464,0.29877,0.37214,0.19036,0.31338,0.26307,0.2969,0.29318,0.31693,0.28092,0.28072,0.318,0.23432,0.31592,0.39483,0.37135,0.2637,0.21406,0.32808,0.38038,0.49071,0.24454,0.10926,0.29326,0.16653,0.4303,0.59233,0.45004,0.60854
NEU1,0.41921,0.25911,0.30994,0.35624,0.25204,0.38378,0.32092,0.35439,0.31263,0.34183,0.16314,0.4113,0.30375,0.30001,0.2478,0.16372,0.28251,0.2302,0.36756,0.29166,0.31014,0.30671,0.21641,0.18279,0.33009,0.23055,0.14664,0.15664,0.35667,0.46615,0.3181,0.14918,0.16422,0.30014,0.15135,0.33027,0.45199,0.24722,0.43869,0.24565
KLHL22,0.4188,0.21753,0.2639,0.31025,0.33055,0.32122,0.26183,0.33754,0.26681,0.36644,0.20884,0.31033,0.29406,0.26849,0.28542,0.21485,0.36308,0.35776,0.34829,0.36187,0.23465,0.44449,0.27554,0.28319,0.31837,0.32628,0.32039,0.33276,0.3386,0.35862,0.26232,0.21198,0.34788,0.36365,0.30099,0.30925,0.43282,0.32286,0.35799,0.18764
VPS16,0.41831,0.25893,0.32616,0.40163,0.27917,0.24676,0.28849,0.22563,0.31318,0.21211,0.31262,0.35301,0.23926,0.33906,0.26492,0.33549,0.25163,0.35943,0.23557,0.24127,0.33601,0.22207,0.27503,0.34584,0.2374,0.33929,0.21143,0.38513,0.34061,0.29386,0.21072,0.27616,0.30977,0.33289,0.16399,0.23546,0.3749,0.3524,0.15338,0.3687
CLTC,0.4174,0.29476,0.29817,0.41516,0.31057,0.42029,0.27882,0.32295,0.27653,0.2805,0.26558,0.32826,0.35861,0.2784,0.28441,0.29457,0.30883,0.30727,0.36931,0.31062,0.14377,0.33329,0.34022,0.30477,0.24664,0.23295,0.33759,0.43314,0.32047,0.27413,0.4109,0.30721,0.44332,0.21757,0.37018,0.25238,0.31225,0.28728,0.25425,0.42203
BBC3,0.41654,0.23461,0.2585,0.3422,0.34611,0.29043,0.16527,0.31718,0.36741,0.26992,0.28229,0.30909,0.28101,0.20918,0.36583,0.29073,0.29112,0.29763,0.30176,0.30755,0.28197,0.26893,0.29678,0.30438,0.38289,0.35024,0.39869,0.20003,0.21629,0.32026,0.27597,0.40125,0.23498,0.22924,0.42173,0.31788,0.227,0.34218,0.30849,0.3328
TSC2,0.41579,0.21091,0.32549,0.29576,0.32767,0.32367,0.32465,0.32137,0.25026,0.33138,0.25419,0.40119,0.36153,0.35407,0.18717,0.31414,0.40149,0.30228,0.48299,0.29679,0.24786,0.38648,0.38214,0.35132,0.35795,0.50611,0.28228,0.31347,0.34564,0.2367,0.2576,0.41423,0.26939,0.3064,0.45211,0.38096,0.19023,0.28979,0.35458,0.15511
