SLC38A9,HLA-DPA1
SLC38A9,KRTAP6-2
SLC38A9,KRTAP5-3
SLC38A9,KRTAP23-1
SLC38A9,KRTAP19-5
SLC38A9,URB1-AS1
SLC38A9,NKX3-1
SLC38A9,HLA-A
SLC38A9,GAS8-AS1
SLC38A9,KRTAP20-2
SLC38A9,HLA-DOA
SLC38A9,KRTAP10-3
SLC38A9,HLA-DQB2
SLC38A9,HLA-DRB4
SLC38A9,KRTAP20-1
SLC38A9,HLA-G
SLC38A9,KRTAP5-9
SLC38A9,KRTAP19-2
SLC38A9,WT1-AS
SLC38A9,KRTAP10-11
SLC38A9,KRTAP21-1
SLC38A9,KRTAP6-1
SLC38A9,KRTAP12-2
SLC38A9,HLA-E
SLC38A9,KRTAP12-4
SLC38A9,NKX2-3
SLC38A9,KRTAP10-1
SLC38A9,NKX6-3
SLC38A9,KRTAP10-12
SLC38A9,LINC-PINT
SLC38A9,ERC2-IT1
SLC38A9,KRTAP12-1
SLC38A9,KRTAP5-6
SLC38A9,RUSC1-AS1
SLC38A9,KRTAP12-3
SLC38A9,KRTAP5-2
SLC38A9,KRTAP5-8
SLC38A9,KRTAP4-12
SLC38A9,KRTAP10-10
SLC38A9,NKX6-1
SLC38A9,NKX2-2
SLC38A9,KRTAP19-1
SLC38A9,KRTAP13-4
SLC38A9,HLA-DRB5
SLC38A9,KRTAP1-3
SLC38A9,KRTAP13-1
SLC38A9,HOXB-AS3
SLC38A9,HLA-B
SLC38A9,KRTAP9-4
SLC38A9,KRTAP4-11
SLC38A9,KRTAP8-1
SLC38A9,KRTAP19-8
SLC38A9,HLA-DPB1
SLC38A9,KRTAP10-6
SLC38A9,NKX6-2
SLC38A9,HLA-DMA
SLC38A9,KRTAP5-5
MTOR,MTOR
MTOR,KRTAP22-1
MTOR,HLA-F
MTOR,KRTAP5-11
MTOR,KRTAP5-10
MTOR,KRTAP10-5
MTOR,NKX2-8
MTOR,KRTAP5-7
MTOR,KRTAP3-2
MTOR,NKX2-5
MTOR,HLA-DRA
MTOR,HLA-DRB1
MTOR,HLA-DQB1
MTOR,KRTAP2-1
MTOR,KRTAP2-3
MTOR,ERVK13-1
MTOR,HLA-H
MTOR,KRTAP10-2
MTOR,HLA-C
MTOR,EXOC3-AS1
MTOR,HLA-DRB3
MTOR,NKX1-2
MTOR,HLA-DOB
MTOR,KRTAP17-1
MTOR,KRTAP10-8
MTOR,KRTAP4-1
MTOR,HLA-DMB
MTOR,LINC00266-1
MTOR,KRTAP10-9
MTOR,KRTAP6-3
MTOR,HLA-DPA1
MTOR,KRTAP6-2
MTOR,KRTAP5-3
MTOR,KRTAP23-1
MTOR,KRTAP19-5
MTOR,URB1-AS1
MTOR,NKX3-1
MTOR,HLA-A
MTOR,GAS8-AS1
MTOR,KRTAP20-2
MTOR,HLA-DOA
MTOR,KRTAP10-3
MTOR,HLA-DQB2
MTOR,HLA-DRB4
MTOR,KRTAP20-1
MTOR,HLA-G
MTOR,KRTAP5-9
MTOR,KRTAP19-2
MTOR,WT1-AS
MTOR,KRTAP10-11
MTOR,KRTAP21-1
MTOR,KRTAP6-1
MTOR,KRTAP12-2
MTOR,HLA-E
MTOR,KRTAP12-4
MTOR,NKX2-3
MTOR,KRTAP10-1
MTOR,NKX6-3
MTOR,KRTAP10-12
MTOR,LINC-PINT
MTOR,ERC2-IT1
MTOR,KRTAP12-1
MTOR,KRTAP5-6
MTOR,RUSC1-AS1
MTOR,KRTAP12-3
MTOR,KRTAP5-2
MTOR,KRTAP5-8
MTOR,KRTAP4-12
MTOR,KRTAP10-10
MTOR,NKX6-1
MTOR,NKX2-2
MTOR,KRTAP19-1
MTOR,KRTAP13-4
MTOR,HLA-DRB5
MTOR,KRTAP1-3
MTOR,KRTAP13-1
MTOR,HOXB-AS3
MTOR,HLA-B
